Country,Happiness Score,GDP per capita,Family,Health,Freedom,Generosity,Trust,Happiness Target,GDP Target,Year
Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,Top,Top,2019
Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,Top,Top,2019
Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Top,Top,2019
Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,Top,Top,2019
Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,Top,Top,2019
Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,Top,Top,2019
Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,Top,Top,2019
New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,Top,Top,2019
Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,Top,Top,2019
Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Top,Top,2019
Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,Top,Top,2019
Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,Top,Top-Mid,2019
Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,Top,Top,2019
Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,Top,Top,2019
United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,Top,Top,2019
Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,Top,Top,2019
Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,Top,Top,2019
Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,Top,Top,2019
United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,Top,Top,2019
Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,Top,Top,2019
United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,Top,Top,2019
Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,Top,Top,2019
Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,Top,Top-Mid,2019
France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,Top,Top,2019
Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,Top,Top,2019
Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,Top,Top-Mid,2019
Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,Top,Low-Mid,2019
Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,Top,Top,2019
Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,Top,Top,2019
Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Top,Top,2019
Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,Top,Top-Mid,2019
Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,Top,Top-Mid,2019
Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,Top,Top-Mid,2019
Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,Top,Top,2019
El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,Top,Low-Mid,2019
Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,Top,Top,2019
Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,Top,Top,2019
Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Top,Top,2019
Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,Top,Top-Mid,2019
Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,Top-Mid,Top-Mid,2019
Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Top-Mid,Low-Mid,2019
Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Top-Mid,Top,2019
Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,Top-Mid,Top-Mid,2019
Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Top-Mid,Top,2019
Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,Top-Mid,Low-Mid,2019
Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,Top-Mid,Low-Mid,2019
Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,Top-Mid,Top-Mid,2019
Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Top-Mid,Top-Mid,2019
Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Top-Mid,Top,2019
Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,Top-Mid,Low-Mid,2019
Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Top-Mid,Top,2019
Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Top-Mid,Top-Mid,2019
Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Top-Mid,Top-Mid,2019
South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,Top-Mid,Top,2019
Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Top-Mid,Top,2019
Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,Top-Mid,Low-Mid,2019
